row_id,country_code,year,agricultural_land_area,percentage_of_arable_land_equipped_for_irrigation,cereal_yield,droughts_floods_extreme_temps,forest_area,total_land_area,fertility_rate,life_expectancy,rural_population,total_population,urban_population,population_growth,avg_value_of_food_production,cereal_import_dependency_ratio,food_imports_as_share_of_merch_exports,gross_domestic_product_per_capita_ppp,imports_of_goods_and_services,inequality_index,net_oda_received_percent_gni,net_oda_received_per_capita,tax_revenue_share_gdp,trade_in_services,per_capita_food_production_variability,per_capita_food_supply_variability,adult_literacy_rate,school_enrollment_rate_female,school_enrollment_rate_total,avg_supply_of_protein_of_animal_origin,caloric_energy_from_cereals_roots_tubers,access_to_improved_sanitation,access_to_improved_water_sources,anemia_prevalence,obesity_prevalence,open_defecation,hiv_incidence,rail_lines_density,access_to_electricity,co2_emissions,unemployment_rate,total_labor_force,military_expenditure_share_gdp,proportion_of_seats_held_by_women_in_gov,political_stability
0,889f053,2002,235077.658128218,38.5585204946796,935.754365405495,,5397.73754423592,537408.312513071,5.92898131847896,60.4522265580746,13540870.6723748,18899505.0828953,5086452.51479494,2.86493114653785,60.8913359956955,78.4527542442611,22.0805391557479,3969.51910599714,38.3518036988039,,2.23356240343904,11.6589785901951,,,1.96809001505453,15.6934916226743,,,,11.0240622909069,64.1295710918262,43.2865023049525,57.9328008955809,59.06144322209,8.29393966792541,28.9335294560052,0.009975075212067,,52.4332392499911,15485.1481651504,14.7880195925402,4350520.54119951,7.02107223065253,0.69815348885964,-1.39380054055686
1,9e614ab,2012,23000.6407378193,21.2826309185478,4031.4521614538,,178336.529912489,232013.631676007,3.00062912922722,64.6554185031485,4070196.5603849,6447522.54499597,2267000.341638,1.29988412367249,266.065998649507,-5.2508775652327,8.89798759236919,4527.25804456612,60.2818992877946,36.5377776159068,4.35131473167882,63.8332751927379,13.4944524373684,8.92996305011951,4.92582728081327,26.4812973107807,,92.711279274705,96.3925066810863,14.0461636430574,68.2857074340526,63.5132196494675,71.1207374840736,36.9010838678963,2.48330343107001,29.665788568895,0.029840320420364,,77.7155737831967,1696.45818401164,0.687018331494054,3262614.20063162,0.198831486731952,25.1018257268284,0.030556260165796
2,100c476,2000,90.954867308966,4.31707966691082,1581.9352780598,,101.780566372769,445.037136860727,2.30186015050887,74.3478058972415,56894.3532264012,83777.2908546112,26767.564582026,2.15002890008769,111.633560170077,88.0495960951481,58.9061287434456,18513.524512672,59.9851740802576,,1.28239676246498,119.610589376364,12.5218502500429,69.9472708051923,2.17987163561052,15.7057566531963,,,,47.2033082601393,28.1107496875187,85.8207122937395,97.5873241490294,27.2428176046155,18.7264481905501,1.33162080360314,,,91.1509807630995,338.795190588203,,,,5.39541285500987,0.651586201121726
3,4609682,2013,100843.661212006,16.6366179959961,1127.62636402813,,10348.8669293922,154616.148188197,2.19931103232241,74.6984046496501,3743950.43868714,11201673.3810323,7282983.05462433,1.18570864229953,334.252960205789,,,10710.2667072758,57.6084487892591,,1.62824135628155,64.9665246575313,,17.2704558614816,15.7890670191491,16.191112330191,,,99.8370574493268,,,92.2743146291383,95.6115149149436,29.0769185305145,23.2185476979824,1.54919117186259,0.010186128086097,1.27709552007691,99.0304025437613,27377.8026003653,15.9483561658961,3979141.38362529,1.62630486100413,26.7359511865651,-0.928787670609577
4,be2a7f5,2008,224.289356976997,,1418.98721183053,,460.11342387201,740.295658594641,,,22894.3782053608,70708.0403731643,47348.2987352864,0.173571427830447,365.214142499101,101.256835068219,76.1541029087841,10416.0989484078,62.7099730117844,,4.90072076009832,296.24825615303,24.3588650483398,40.2274189521837,23.7717830665522,55.0670351041735,,88.2312976808433,88.0823674354473,51.5860099448338,34.3266350627219,,,25.0088462828911,20.0108122165771,7.56473349774567,,,91.9303665178005,134.258083349357,,,,19.1368129228182,0.956027365899787
5,7e222a7,2014,51966.1932635341,,1582.76800538521,,230945.218020331,256353.864954384,3.91841501009366,65.2189786711855,249411.496749361,1847782.37909772,1607201.73134525,3.20302895127766,,,,16718.7818198916,29.3612342171118,,0.658288226198246,59.6609935326632,,,3.88081094471719,,,,,,,41.459807491913,92.6438536396009,59.6408759595361,13.4408136213574,2.96813915543585,0.167051514391384,0.304854049694617,89.7284174475501,5184.56349886843,19.8178284162512,614744.519499977,1.13490353514313,15.2504749949982,0.171855345620796
6,066b021,2007,47126.6953926511,98.270354048805,2448.11205604144,,4142.63173737537,142737.427751402,3.43875522718932,67.367046313892,5178248.38016833,7158708.04742207,1893276.67562161,2.12811953503932,114.391148915446,51.1342084758575,21.8243904620229,1852.67350842823,69.0888042991549,32.0256904899636,6.48816162624219,32.5222647824876,,20.0413772742439,5.94763953273052,30.9576809438455,,92.89477539867,94.1926600124319,9.88469834482097,64.479927664776,93.7045424514895,66.0406812971479,33.463864746552,7.74565695939446,0.721260632687892,0.039340324954441,,100.711255137025,3197.95524928715,11.3883219475819,2693342.65625358,,17.4343103370609,-0.744149865549081
7,66b86bf,2000,55456.495138104,18.0148540079844,2431.91294209852,,34131.5328816097,110392.365332707,1.23662357569978,70.4965259613986,2584442.62507485,8077407.40796205,5588845.38975488,-0.498341957350446,367.438251700295,-17.2554276973448,5.98578041359983,8928.26919039905,42.3308724308468,,,,17.4608304095365,29.6937054069293,26.2898859765245,103.464307014671,,95.4065843542086,96.0055094529008,40.7636478921063,42.6136405449414,86.3943472567622,100.353193268468,24.349046874835,17.9270285363616,0,,3.93442674304232,99.6712568379595,43300.3082223619,16.2982812444892,3415826.92101392,2.62254746084648,10.8299699623825,0.349050341572436
8,583201c,2010,156937.910962804,0.712354205782668,1789.0178404883,,93036.3074818072,224242.635412976,4.25066922716453,61.7617621612315,12041221.7513348,24918630.9593193,12575699.2718924,2.56197732329367,268.682671490482,26.022977071129,17.3056154744193,3080.45899938481,45.1958186061786,,5.39242920765378,68.3368831772049,13.5025083795088,13.6772315866633,9.41111076159257,58.9393520133386,70.2968584427344,,,14.7309944142688,63.1230933193881,13.7509370665863,84.181681667548,50.3503248581953,8.6281010188759,19.4141609015364,0.090388535468182,,65.7247341425734,10046.8476517089,5.32714600251758,11501322.0895965,0.373554201819154,8.2599585292263,0.019875232630892
9,0ea781c,2009,343.540323920918,,,0,1719.2163881357,2774.15220228622,4.44452892089929,72.9244095680208,145055.9477968,186003.954283372,36932.4625945706,0.703869926612259,270.243467818515,,121.889552686771,5507.90505423041,50.9067557735532,,14.2072483290711,407.130232651572,,43.930932799512,8.14620430164255,45.5001091197864,,,99.7233688333831,48.4653502792124,28.4568732419069,93.2846790910108,97.4075071857471,23.0314596150305,41.2261037505237,0.079337510442854,,,96.1587503539323,189.006699378686,3.90382173572145,37747.8513751092,,8.32675664774866,0.980387204066608
